分类,基酒,酒名,食材/材料,氛围标签,描述,Sullivan推荐语,图片文件名
啤酒,,生啤,啤酒,"轻松、随意",,,
Shot,伏特加,伏特加shot,伏特加,"干脆、上头",,,
Shot,威士忌,威士忌shot,威士忌,"劲道、经典",,,
Shot,朗姆酒,朗姆酒shot,朗姆酒,"温暖、随性",,,
Shot,金酒,金酒shot,金酒,"清爽、锐利",,,
Shot,龙舌兰,龙舌兰shot,龙舌兰,"狂野、庆祝感",,,
Shot,白兰地,白兰地shot,白兰地,"温润、醇厚",,,
鸡尾酒,伏特加,示例：大都会,"伏特加，橙皮甜酒，蔓越莓汁，青柠","撩人、精致",,,
鸡尾酒,威士忌,示例：古典鸡尾酒,"威士忌，糖，苦精，橙皮","经典、沉思",,,
鸡尾酒,朗姆酒,示例：莫吉托,"朗姆酒，青柠，薄荷，苏打水，糖","清爽、惬意",,,
鸡尾酒,金酒,示例：内格罗尼,"金酒，金巴利，甜味美思","微苦回甘、有格调",,,
鸡尾酒,龙舌兰,示例：玛格丽特,"龙舌兰，橙皮甜酒，青柠","节日感、大胆",,,
鸡尾酒,白兰地,示例：侧车,"白兰地，橙皮甜酒，柠檬汁","优雅、怀旧",,,
无酒精,,无酒精莫吉托,"青柠，薄荷，苏打水，糖","清爽、轻盈",,,
